Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Cao Kun;1990001;U36;1930;1930;1930;1930;6;5;128;1;0;5;0;9531;1930;1938;1938;x
Cai Chengxun;1990002;U36;1930;1937;1939;1990;1;5;0;2;0;3;0;AR211;1930;1946;1946;x
Wu Peifu;1990003;U36;1930;1930;1930;1930;0;9;128;6;4;4;0;9529;1930;1939;1939;x
Sun Chuanfang;1990004;U36;1930;1938;1990;1990;3;5;4;1;0;2;0;9536;1930;1939;1939;x
Wu Yulin;1990005;U36;1930;1930;1941;1990;2;6;2;1;0;5;1;9538;1930;1960;1999;x
Deng Xihou;1990006;U36;1930;1937;1990;1990;2;6;4;1;0;5;0;9540;1930;1964;1964;x
Wang Tan;1990007;U36;1930;1938;1990;1990;3;6;1;1;0;5;0;9532;1941;1941;1999;x
Lu Jin;1990008;U36;1930;1939;1990;1990;3;5;0;1;0;4;0;9533;1930;1946;1946;x
Wang Chengbin;1990009;U36;1930;1990;1990;1990;3;4;0;0;0;5;2;9541;1930;1938;1938;x
Bao Bingchen;1990011;U36;1930;1990;1990;1990;3;4;0;0;0;5;2;AR210;1930;1952;1952;x
Chen Tiaoyuan;1990012;U36;1930;1930;1930;1990;1;5;0;1;0;5;2;AR212;1930;1943;1943;x
Ding Zhizhen;1990013;U36;1930;1937;1990;1990;3;5;0;1;0;5;0;AR213;1930;1988;1988;x
Jiang Yanxing;1990014;U36;1930;1930;1938;1990;2;6;64;1;0;5;0;AR214;1930;1941;1941;x
Liu Menggen;1990015;U36;1930;1937;1990;1990;3;5;32;1;0;5;0;AR215;1930;1945;1945;x
Liu Zhenhua;1990016;U36;1930;1930;1938;1990;2;5;64;1;0;5;0;AR216;1930;1955;1955;x
Qi Xieyuan;1990017;U36;1930;1939;1990;1990;3;7;20;2;0;5;1;AR217;1930;1945;1945;x
Zhang Jingyu;1990018;U36;1930;1938;1990;1990;2;5;2;1;0;5;2;AR218;1930;1984;1984;x
Chen Qingyun;1990019;U36;1930;1990;1990;1990;3;6;17;1;0;5;2;AR219;1930;1981;1981;x
Sa Zhenbing;1990020;U36;1937;1990;1990;1990;3;4;0;0;0;5;1;AR220;1937;1952;1952;x
Tang Yuming;1990021;U36;1930;1938;1990;1990;2;4;0;1;0;5;1;AR221;1930;1975;1975;x
Wang Huaiqing;1990022;U36;1930;1930;1990;1990;2;6;96;0;0;5;0;AR222;1930;1953;1953;x
Wang Yuxian;1990023;U36;1930;1938;1990;1990;3;5;32;1;0;5;0;AR224;1930;1944;1944;x
