Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chiang Kai-shek;55001;CHI;1935;1935;1935;1935;0;9;21;5;2;4;0;9516;1935;1976;1999;x
Chen Ce;55352;CHI;1930;1930;1990;1990;2;3;2048;0;0;4;1;L50354;1935;1970;1999;x
Chen Jiliang;55353;CHI;1938;1940;1990;1990;2;4;0;1;0;3;1;L50355;1935;1970;1999;x
Chen Shaokuan;55354;CHI;1930;1930;1930;1930;0;3;0;1;0;3;1;L50356;1935;1970;1999;x
Ji Zhangjian;55355;CHI;1939;1999;1999;1999;3;3;0;0;0;4;1;L50357;1935;1992;1999;x
Xu Zushan;55356;CHI;1930;1990;1990;1990;3;3;0;0;0;4;1;L50358;1935;1941;1999;x
Gao Xianshen;55357;CHI;1940;1990;1990;1990;3;3;0;0;0;4;1;L50359;1935;1970;1999;x
Gui Yongqing;55358;CHI;1941;1943;1990;1990;2;4;0;1;0;4;1;L50360;1935;1954;1999;x
Liu Yonggao;55359;CHI;1930;1938;1990;1990;2;6;1536;1;0;4;1;L50361;1935;1970;1999;x
Ouyang Ge;55360;CHI;1940;1943;1990;1990;2;4;0;1;0;4;1;L50362;1935;1970;1999;x
Sa Shijun;55361;CHI;1930;1990;1990;1990;3;3;0;0;0;4;1;L50363;1935;1941;1999;x
Shen Honglie;55362;CHI;1940;1941;1943;1990;3;5;0;2;0;4;1;L50364;1935;1960;1999;x
Zeng Yiding;55363;CHI;1943;1990;1990;1990;3;3;0;0;0;3;1;L50365;1935;1970;1999;x
Wang Shouting;55364;CHI;1930;1990;1990;1990;3;4;4608;1;0;4;1;L50366;1935;1970;1999;x
Zhang Tingmeng;55365;CHI;1942;1990;1990;1990;3;3;0;0;0;4;2;L50367;1935;1970;1999;x
Chen Qixia;55366;CHI;1941;1990;1990;1990;3;3;65536;0;0;4;2;L50368;1935;1946;1999;x
Chen Qingyun;55367;CHI;1924;1990;1990;1990;3;3;0;0;0;4;2;L50369;1924;1981;1999;x
Chennault;55368;CHI;1930;1930;1990;1990;2;5;8192;2;0;4;2;L50370;1930;1958;1999;x
Chen Ruitian;55369;CHI;1930;1990;1990;1990;3;3;0;0;0;4;2;L50371;1930;1943;1999;x
Zhou Zhirou;55370;CHI;1933;1940;1990;1990;2;4;0;1;0;4;2;L50372;1933;1986;1999;x
Xu Huansheng;55371;CHI;1938;1940;1990;1990;2;3;32768;1;0;4;2;L50373;1935;1970;1999;x
Huang Guangrui;55372;CHI;1923;1990;1990;1990;3;3;0;0;0;4;2;L50374;1923;1986;1999;x
Huang Bingheng;55373;CHI;1937;1944;1990;1990;3;4;0;1;0;4;2;L50375;1935;1989;1999;x
Gao Zhihang;55374;CHI;1936;1990;1990;1990;3;5;4096;0;0;5;2;L50376;1935;1938;1999;x
Khryukin;55375;CHI;1930;1930;1990;1990;2;5;16384;0;0;3;2;L50377;1930;1970;1999;x
Li Guidan;55376;CHI;1930;1990;1990;1990;3;3;0;0;0;4;2;L50378;1930;1942;1999;x
Liang Tiancheng;55377;CHI;1930;1939;1990;1990;2;4;4096;1;0;4;2;L50379;1930;1970;1999;x
Liu Guoyun;55378;CHI;1936;1990;1990;1990;3;3;0;0;0;4;2;L50380;1935;1938;1999;x
Liu Muqun;55379;CHI;1942;1990;1990;1990;3;4;0;0;0;4;2;L50381;1935;1970;1999;x
Liu Zhesheng;55380;CHI;1944;1990;1990;1990;3;4;4096;0;0;4;2;L50382;1935;1970;1999;x
Liu Cuigang;55381;CHI;1930;1990;1990;1990;3;4;4096;0;0;4;2;L50383;1930;1941;1999;x
Mao Bangchu;55382;CHI;1936;1941;1990;1990;2;3;0;0;0;4;2;L50384;1935;1987;1999;x
Qian Dajun;55383;CHI;1932;1938;1941;1990;1;4;0;2;0;4;2;L50385;1932;1982;1999;x
Wang Guangfu;55384;CHI;1941;1990;1990;1990;3;4;0;0;0;4;2;L50386;1935;1970;1999;x
Wang Tianxiang;55385;CHI;1930;1990;1990;1990;3;3;8192;0;0;4;2;L50387;1930;1941;1999;x
Yue Yiqin;55386;CHI;1939;1941;1990;1990;3;5;131072;1;0;4;2;L50388;1935;1970;1999;x
Li Shijia;55387;CHI;1930;1939;1990;1990;2;3;4096;1;0;5;1;L50389;1930;1979;1999;x
Li Fulin;55390;CHI;1926;1932;1990;1990;2;4;0;2;0;4;0;7757;1926;1952;1999;x
Wan Shijiong;55391;CHI;1938;1950;1999;1999;3;3;0;0;0;4;0;7758;1935;1991;1999;x
Yang Yanchang;55392;CHI;1917;1925;1990;1990;3;4;513;1;0;5;0;7759;1917;1950;1999;x
Wu Tiecheng;55393;CHI;1926;1933;1990;1990;3;2;0;0;0;4;0;7760;1926;1953;1999;x
Yu Xuezhong;55394;CHI;1937;1937;1938;1990;1;4;0;2;0;4;0;7761;1935;1964;1999;x
Li Suchun;55395;CHI;1936;1936;1990;1990;3;2;0;0;0;4;0;7762;1935;1942;1999;x
Wang Lingyun;55396;CHI;1930;1942;1990;1990;2;4;0;1;0;4;0;7763;1930;1968;1999;x
Yu Zhenhe;55397;CHI;1930;1939;1990;1990;2;3;0;1;0;4;0;7764;1930;1985;1999;x
He Zhonghan;55398;CHI;1930;1930;1990;1990;2;5;8192;2;0;4;0;AR204;1930;1966;1966;x
Kang Ze;55399;CHI;1935;1935;1990;1990;2;4;1;0;0;3;0;AR200;1935;1966;1999;x
Teng Jie;55400;CHI;1937;1940;1990;1990;2;4;0;1;0;4;0;AR201;1935;1999;1999;x
Liu Jianqun;55401;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;AR202;1930;1970;1999;x
Zeng Kuoqing;55402;CHI;1940;1943;1990;1990;2;4;0;1;0;4;0;AR203;1935;1983;1999;x
Xiao Zanyu;55403;CHI;1937;1990;1990;1990;3;3;0;0;0;4;0;AR205;1935;1999;1999;x
Hu Zongnan;55404;CHI;1941;1990;1990;1990;3;3;4;0;0;4;0;AR206;1935;1962;1999;x
