Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ismail Enver;540001;TRK;1930;1930;1930;1930;3;5;17;3;0;5;0;AR7;1930;1960;1999;x
Ahmed Djemal;540002;TRK;1930;1930;1930;1990;3;5;4;2;0;5;0;AR11;1930;1960;1999;x
Bastug Hasim;540003;TRK;1930;1930;1990;1990;2;5;2;2;0;5;0;ARG2;1930;1960;1999;x
Assonov V.A.;540004;TRK;1930;1939;1943;1990;3;6;257;3;0;5;0;ARG3;1930;1960;1999;x
Kairatev;540005;TRK;1930;1930;1990;1990;3;3;256;2;0;5;0;ARG4;1930;1960;1999;x
Saglam;540006;TRK;1930;1990;1990;1990;3;3;4;1;0;5;0;ARG5;1930;1960;1999;x
Cakmak;540007;TRK;1930;1938;1990;1990;2;3;0;1;0;5;0;ARG6;1930;1960;1999;x
Kholmatzhonov;540008;TRK;1930;1938;1990;1990;4;2;16;2;0;5;0;ARG7;1930;1960;1999;x
Cihan;540009;TRK;1930;1990;1990;1990;3;2;0;0;0;5;0;ARG8;1930;1960;1999;x
Bekbolatev;540010;TRK;1930;1990;1990;1990;3;3;2;0;0;5;0;ARG9;1930;1960;1999;x
Karasu;540011;TRK;1930;1930;1930;1990;3;3;128;3;0;5;0;ARG10;1930;1960;1999;x
Aydogan;540012;TRK;1930;1938;1990;1990;2;3;0;1;0;5;0;ARG11;1930;1960;1999;x
Hossein Hajar;540013;TRK;1930;1930;1930;1990;3;4;2;2;0;5;0;ARG12;1930;1960;1999;x
