U74;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1185100;Head of Government;Cao Haosen;1885;1952;1952;LWR;old admiral;High;AR225;X
1185101;Chief of Navy;Cao Haosen;1885;1952;1952;LWR;decisive naval battle doctrine;High;AR225;X
1185102;Head of State;Feng Yuxiang;1885;1948;1948;LWR;resigned generalissimo;High;AR226;X
1185103;Head of State;Feng Yuxiang;1885;1948;1948;LWR;old general;High;AR226;X
1185104;Chief of Army;Feng Yuxiang;1885;1948;1948;LWR;guns and butter doctrine;High;AR226;X
1185105;Chief of Staff;Feng Yuxiang;1885;1948;1948;LWR;school of mass combat;High;AR226;X
1185106;Head of Government;Han Fuju;1885;1950;1950;SD;backroom backstabber;High;AR227;X
1185107;Chief of Army;Han Fuju;1885;1950;1950;SD;decisive battle doctrine;High;AR227;X
1185108;Foreign Minister;Hao Pengju;1885;1955;1955;LWR;the cloak n dagger schemer;High;AR233;X
1185109;Minister of Armament;Li Mingzhong;1885;1949;1949;LWR;Planned economy proponent;High;AR228;X
1185110;Minister of Security;Liu Ruming;1885;1952;1975;LWR;compassionate gentleman;High;AR229;X
1185111;Head of Military Intelligence;Liu Yufen;1885;1943;1943;LWR;dismal enigma;High;AR230;X
1185112;Chief of Army;Lu Zhonglin;1885;1966;1966;LWR;Doctrine of autonomy;High;AR231;X
1185113;Chief of Air Force;Wang Bingzhang;1885;1999;1999;LWR;army aviation doctrine;High;AR232;X
