Black;;;
red;green;blue;index
170;170;170;0
150;150;150;20
130;130;130;40
1;1;1;64
Green;;;
red;green;blue;index
224;236;196;0
204;216;176;20
184;196;156;40
1;1;1;64
Orange;;;
red;green;blue;index
236;236;217;0
216;216;197;20
196;196;177;40
1;1;1;64
light blue;;;
red;green;blue;index
242;242;264;0
222;222;244;20
202;202;224;40
1;1;1;64
light grey;;;
red;green;blue;index
237;237;237;0
217;217;217;20
197;197;197;40
1;1;1;64
light brown;;;
red;green;blue;index
236;236;217;0
216;216;197;20
196;196;177;40
1;1;1;64
dark yellow;;;
red;green;blue;index
246;236;198;0
226;216;178;20
206;196;158;40
1;1;1;64
yellow;;;
red;green;blue;index
264;252;196;0
244;232;176;20
224;212;156;40
1;1;1;64
dark grey;;;
red;green;blue;index
256;256;227;0
236;236;207;20
216;216;187;40
1;1;1;64
light yellow;;;
red;green;blue;index
261;226;202;0
241;206;182;20
221;186;162;40
1;1;1;64
grey;;;
red;green;blue;index
223;223;223;0
203;203;203;20
183;183;183;40
1;1;1;64
dark green;;;
red;green;blue;index
203;223;203;0
183;203;183;20
163;183;163;40
1;1;1;64
blue;;;
red;green;blue;index
215;231;244;0
195;211;224;20
175;191;204;40
1;1;1;64
light red;;;
red;green;blue;index
263;244;224;0
243;224;204;17
223;204;184;40
1;1;1;64
white;;;
red;green;blue;index
260;260;260;0
240;240;240;20
220;220;220;40
1;1;1;64
dark brown;;;
red;green;blue;index
237;221;207;0
217;201;187;20
197;181;167;40
1;1;1;64
red;;;
red;green;blue;index
261;217;213;0
241;197;193;20
221;177;173;40
1;1;1;64
light green;;;
red;green;blue;index
237;252;219;0
217;232;199;20
207;212;179;40
1;1;1;64
light orange;;;
red;green;blue;index
272;265;222;0
252;245;202;20
232;225;182;40
1;1;1;64
brown;;;
red;green;blue;index
223;223;195;0
203;203;175;20
183;183;155;40
1;1;1;64
dark blue;;;
red;green;blue;index
213;213;235;0
193;193;215;20
173;173;195;40
1;1;1;64
dark red;;;
red;green;blue;index
254;194;194;0
234;174;174;20
214;154;154;40
1;1;1;64
dark orange;;;
red;green;blue;index
238;210;188;0
218;190;168;20
198;170;148;40
1;1;1;64
water;;;
red;green;blue;index
175;213;227;0
150;181;191;20
124;148;155;40
51;64;70;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;50;50;0
50;50;50;4
50;50;50;35
50;50;50;64
UserColor1;;;
red;green;blue;index
252;227;241;0
232;207;221;20
212;197;201;40
1;1;1;64
UserColor2;;;
red;green;blue;index
222;252;243;0
202;232;223;20
182;212;203;40
1;1;1;64
UserColor3;;;
red;green;blue;index
212;238;233;0
192;218;213;20
172;198;193;40
1;1;1;64
UserColor4;;;
red;green;blue;index
254;236;180;0
234;216;160;20
214;196;140;40
1;1;1;64
UserColor5;;;
red;green;blue;index
250;212;221;0
230;192;201;20
210;172;181;40
1;1;1;64
UserColor6;;;
red;green;blue;index
247;213;181;0
227;193;161;20
207;173;141;40
1;1;1;64
